"id","status","enrolled_at","created_at","updated_at","student_id","course_id"
"1","enrolled","2022-01-01","2025-04-29 11:05:15","2025-04-29 11:05:15","2","1"
"2","enrolled","2022-01-01","2025-04-29 11:05:15","2025-04-29 11:05:15","2","2"
"3","enrolled","2022-01-01","2025-04-29 11:05:15","2025-04-29 11:05:15","2","3"
"4","enrolled","2022-01-01","2025-04-29 11:05:15","2025-04-29 11:05:15","2","4"
"5","enrolled","2022-01-01","2025-04-29 11:05:15","2025-04-29 11:05:15","2","5"
"6","enrolled","2022-01-01","2025-04-29 11:05:15","2025-04-29 11:05:15","2","6"
"7","enrolled","2022-08-01","2025-04-29 11:05:15","2025-04-29 11:05:15","2","7"
"8","enrolled","2022-08-01","2025-04-29 11:05:15","2025-04-29 11:05:15","2","8"
"9","enrolled","2022-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","9"
"10","enrolled","2022-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","10"
"11","enrolled","2022-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","11"
"12","enrolled","2022-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","12"
"13","enrolled","2023-01-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","13"
"14","enrolled","2023-01-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","14"
"15","enrolled","2023-01-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","15"
"16","enrolled","2023-01-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","16"
"17","enrolled","2023-01-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","17"
"18","enrolled","2023-01-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","18"
"19","enrolled","2023-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","19"
"20","enrolled","2023-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","20"
"21","enrolled","2023-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","21"
"22","enrolled","2023-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","22"
"23","enrolled","2023-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","23"
"24","enrolled","2023-08-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","24"
"25","enrolled","2024-01-01","2025-04-29 11:05:16","2025-04-29 11:05:16","2","25"
"26","enrolled","2024-01-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","26"
"27","enrolled","2024-01-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","27"
"28","enrolled","2024-01-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","28"
"29","enrolled","2024-01-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","41"
"30","enrolled","2024-01-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","42"
"31","enrolled","2024-08-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","29"
"32","enrolled","2024-08-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","30"
"33","enrolled","2024-08-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","31"
"34","enrolled","2024-08-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","32"
"35","enrolled","2025-08-01","2025-04-29 11:05:17","2025-04-30 05:38:09","2","43"
"36","enrolled","2024-08-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","44"
"37","enrolled","2025-01-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","33"
"38","enrolled","2025-01-01","2025-04-29 11:05:17","2025-04-29 11:05:17","2","34"
"39","enrolled","2025-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","2","35"
"40","enrolled","2025-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","2","36"
"41","enrolled","2023-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","1"
"42","enrolled","2023-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","2"
"43","enrolled","2023-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","3"
"44","enrolled","2023-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","4"
"45","enrolled","2023-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","5"
"46","enrolled","2023-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","6"
"47","enrolled","2023-08-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","7"
"48","enrolled","2023-08-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","8"
"49","enrolled","2023-08-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","9"
"50","enrolled","2023-08-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","10"
"51","enrolled","2023-08-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","11"
"52","enrolled","2023-08-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","12"
"53","enrolled","2024-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","13"
"54","enrolled","2024-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","14"
"55","enrolled","2024-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","15"
"56","enrolled","2024-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","16"
"57","enrolled","2024-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","17"
"58","enrolled","2024-01-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","18"
"59","enrolled","2024-08-01","2025-04-29 11:05:18","2025-04-29 11:05:18","3","19"
"60","enrolled","2024-08-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","20"
"61","enrolled","2024-08-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","21"
"62","enrolled","2024-08-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","22"
"63","enrolled","2024-08-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","23"
"64","enrolled","2024-08-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","24"
"65","enrolled","2025-01-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","25"
"66","enrolled","2025-01-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","26"
"67","enrolled","2025-01-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","27"
"68","enrolled","2025-01-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","28"
"69","enrolled","2025-01-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","41"
"70","enrolled","2025-01-01","2025-04-29 11:05:19","2025-04-29 11:05:19","3","42"
"71","enrolled","2025-01-01","2025-04-29 11:05:19","2025-04-29 11:05:19","29","1"
"72","enrolled","2025-01-01","2025-04-29 11:05:20","2025-04-29 11:05:20","29","2"
"73","enrolled","2025-01-01","2025-04-29 11:05:20","2025-04-29 11:05:20","29","3"
"74","enrolled","2025-01-01","2025-04-29 11:05:20","2025-04-29 11:05:20","29","4"
"75","enrolled","2025-01-01","2025-04-29 11:05:20","2025-04-29 11:05:20","29","5"
"76","enrolled","2025-01-01","2025-04-29 11:05:20","2025-04-29 11:05:20","29","6"
"77","enrolled","2025-01-01","2025-04-29 11:05:20","2025-04-29 11:05:20","30","1"
"78","enrolled","2025-01-01","2025-04-29 11:05:20","2025-04-29 11:05:20","30","2"
"79","enrolled","2025-01-01","2025-04-29 11:05:20","2025-04-29 11:05:20","30","3"
"80","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","30","4"
"81","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","30","5"
"82","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","30","6"
"83","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","31","1"
"84","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","31","2"
"85","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","31","3"
"86","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","31","4"
"87","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","31","5"
"88","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","31","6"
"89","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","32","1"
"90","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","32","2"
"91","enrolled","2025-01-01","2025-04-29 11:05:21","2025-04-29 11:05:21","32","3"
"92","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","32","4"
"93","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","32","5"
"94","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","32","6"
"95","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","33","1"
"96","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","33","2"
"97","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","33","3"
"98","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","33","4"
"99","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","33","5"
"100","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","33","6"
"101","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","34","1"
"102","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","34","2"
"103","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","34","3"
"104","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","34","4"
"105","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","34","5"
"106","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","34","6"
"107","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","35","1"
"108","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","35","2"
"109","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","35","3"
"110","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","35","4"
"111","enrolled","2025-01-01","2025-04-29 11:05:22","2025-04-29 11:05:22","35","5"
"112","enrolled","2025-01-01","2025-04-29 11:05:23","2025-04-29 11:05:23","35","6"
"113","enrolled","2025-01-01","2025-04-29 11:05:23","2025-04-29 11:05:23","36","1"
"114","enrolled","2025-01-01","2025-04-29 11:05:23","2025-04-29 11:05:23","36","2"
"115","enrolled","2025-01-01","2025-04-29 11:05:23","2025-04-29 11:05:23","36","3"
"116","enrolled","2025-01-01","2025-04-29 11:05:23","2025-04-29 11:05:23","36","4"
"117","enrolled","2025-01-01","2025-04-29 11:05:23","2025-04-29 11:05:23","36","5"
